X,Y,Z,formation
651876.0,5934212.0,724.0,till
651910.0,5932602.0,687.0,till
651910.0,5932602.0,711.0,till
651910.0,5932602.0,720.0,till
651910.0,5932602.0,737.0,till
652884.0,5952059.0,653.0,till
652967.0,5950454.0,663.0,till
653004.0,5948843.0,671.0,till
653192.0,5943973.0,681.0,till
653227.0,5942344.0,691.0,till
653285.0,5940734.0,689.0,till
653361.0,5939127.0,685.0,till
653399.0,5937500.0,689.0,till
653456.0,5935870.0,661.0,till
653456.0,5935870.0,677.0,till
653456.0,5935870.0,681.0,till
653456.0,5935870.0,693.0,till
653501.0,5934211.0,688.0,till
653501.0,5934211.0,698.0,till
653501.0,5934211.0,708.0,till
653534.0,5932653.0,690.0,till
653534.0,5932653.0,705.0,till
653534.0,5932653.0,720.0,till
654532.0,5952114.0,657.0,till
654570.0,5950704.0,665.0,till
654627.0,5948886.0,668.0,till
654706.0,5947273.0,671.0,till
654742.0,5945639.0,655.0,till
654742.0,5945639.0,669.0,till
654797.0,5944032.0,672.0,till
654876.0,5942420.0,685.0,till
654929.0,5940795.0,693.0,till
654978.0,5939163.0,688.0,till
655007.0,5937556.0,673.0,till
655007.0,5937556.0,681.0,till
655117.0,5934317.0,667.0,till
655117.0,5934317.0,679.0,till
655189.0,5932707.0,684.0,till
656156.0,5952164.0,664.0,till
656204.0,5950571.0,667.0,till
656279.0,5948940.0,664.0,till
656371.0,5945717.0,671.0,till
656424.0,5944186.0,669.0,till
656480.0,5942480.0,673.0,till
656533.0,5940849.0,686.0,till
656638.0,5937610.0,677.0,till
656638.0,5937610.0,685.0,till
656682.0,5936072.0,671.0,till
656682.0,5936072.0,681.0,till
656747.0,5934374.0,640.0,till
656747.0,5934374.0,664.0,till
656747.0,5934374.0,680.0,till
656805.0,5932820.0,631.0,till
656805.0,5932820.0,652.0,till
656805.0,5932820.0,667.0,till
656805.0,5932820.0,678.0,till
657790.0,5952219.0,665.0,till
657873.0,5950628.0,664.0,till
657924.0,5949020.0,670.0,till
657973.0,5947386.0,653.0,till
657973.0,5947386.0,662.0,till
657999.0,5945774.0,665.0,till
658106.0,5942539.0,667.0,till
658166.0,5940910.0,672.0,till
658290.0,5937669.0,682.0,till
658383.0,5934432.0,653.0,till
658383.0,5934432.0,668.0,till
658383.0,5934432.0,678.0,till
658453.0,5932820.0,659.0,till
658453.0,5932820.0,671.0,till
659424.0,5952274.0,668.0,till
659474.0,5950683.0,669.0,till
659528.0,5949052.0,629.0,till
659528.0,5949052.0,637.0,till
659528.0,5949052.0,651.0,till
659528.0,5949052.0,654.0,till
659528.0,5949052.0,663.0,till
659599.0,5947443.0,664.0,till
659629.0,5945832.0,663.0,till
659679.0,5944204.0,670.0,till
659789.0,5940965.0,672.0,till
659865.0,5939355.0,670.0,till
659902.0,5937723.0,673.0,till
660030.0,5934484.0,676.0,till
660084.0,5932875.0,656.0,till
660084.0,5932875.0,663.0,till
660084.0,5932875.0,670.0,till
660084.0,5932875.0,674.0,till
661052.0,5952321.0,662.5,till
661052.0,5952321.0,675.0,till
661122.0,5950727.0,658.0,till
661122.0,5950727.0,663.0,till
661122.0,5950727.0,673.0,till
661153.0,5949101.0,659.0,till
661153.0,5949101.0,663.0,till
661153.0,5949101.0,670.0,till
661207.0,5947493.0,668.0,till
661312.0,5944125.0,664.5,till
661312.0,5944125.0,671.0,till
661365.0,5942625.0,672.0,till
661419.0,5941022.0,672.0,till
661475.0,5939384.0,669.0,till
661550.0,5937771.0,668.0,till
661656.0,5934544.0,671.0,till
661691.0,5932929.0,663.0,till
661691.0,5932929.0,670.0,till
662667.0,5952373.0,621.0,till
662667.0,5952373.0,686.0,till
662727.0,5950781.0,672.0,till
662727.0,5950781.0,687.0,till
662800.0,5949152.0,619.0,till
662800.0,5949152.0,666.0,till
662800.0,5949152.0,679.0,till
662854.0,5947544.0,660.0,till
662854.0,5947544.0,672.0,till
662885.0,5945910.0,672.0,till
662941.0,5944307.0,667.0,till
663071.0,5941066.0,673.0,till
663105.0,5939454.0,673.0,till
663178.0,5937826.0,662.0,till
663178.0,5937826.0,669.0,till
663230.0,5936222.0,659.0,till
663230.0,5936222.0,669.0,till
663318.0,5932964.0,660.0,till
663318.0,5932964.0,668.0,till
664283.0,5952425.0,595.0,till
664283.0,5952425.0,612.0,till
664283.0,5952425.0,639.0,till
664283.0,5952425.0,647.0,till
664283.0,5952425.0,651.0,till
664283.0,5952425.0,657.0,till
664283.0,5952425.0,665.0,till
664283.0,5952425.0,678.0,till
664360.0,5950852.0,642.0,till
664360.0,5950852.0,652.0,till
664360.0,5950852.0,672.0,till
664360.0,5950852.0,677.0,till
664360.0,5950852.0,692.0,till
664418.0,5949220.0,682.0,till
664418.0,5949220.0,693.0,till
664475.0,5947609.0,671.0,till
664475.0,5947609.0,679.0,till
664475.0,5947609.0,686.0,till
664475.0,5947609.0,688.0,till
664475.0,5947609.0,691.0,till
664512.0,5945978.0,671.0,till
664512.0,5945978.0,680.0,till
664566.0,5944504.0,675.0,till
664643.0,5942752.0,674.0,till
664699.0,5941126.0,669.0,till
664755.0,5939514.0,669.0,till
664793.0,5938003.0,670.0,till
664855.0,5936177.0,661.0,till
664855.0,5936177.0,670.0,till
664924.0,5934645.0,654.0,till
664924.0,5934645.0,673.0,till
664959.0,5933040.0,629.0,till
664959.0,5933040.0,666.0,till
653004.0,5948843.0,670.0,till?
659865.0,5939355.0,671.0,topsoil
659528.0,5949052.0,637.5,very fine sand
